                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2586,                 3.1712,                 1.6707,                0.14299,                0.66742,                0.20472,                0.13021,                   1.18,                  3.011,                 1.7764,             0.00036781,             0.00036781,             0.00036781
                      2,                 1.3094,                 2.7355,                 1.6862,                0.18059,                0.51959,                0.24418,                0.15456,                 1.1498,                 3.0556,                 1.7919,             0.00072353,             0.00072353,             0.00072353
                      3,                 1.2772,                 2.5206,                  1.625,                0.56154,                0.23978,                0.25353,                0.13488,                 1.3865,                 2.8466,                 1.9615,              0.0010646,              0.0010646,              0.0010646
                      4,                 1.3197,                 2.4716,                 1.6565,                0.24249,                0.46865,                0.30818,                0.19111,                 1.3426,                 2.2902,                   1.93,               0.001045,               0.001045,               0.001045
                      5,                 1.2793,                  2.339,                 1.6268,                0.30932,                 0.4941,                0.35967,                0.23292,                  1.215,                 2.0579,                 1.8306,               0.001023,               0.001023,               0.001023
                      6,                 1.2448,                 2.1892,                 1.6048,                0.37768,                0.50028,                0.41728,                0.27585,                 1.2794,                 2.0001,                 1.8811,               0.001001,               0.001001,               0.001001
                      7,                 1.2068,                 2.0905,                 1.5562,                0.42102,                0.52481,                0.46826,                0.30797,                 1.2091,                 1.8812,                  1.777,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.2475,                 2.0539,                 1.5853,                0.32072,                0.62114,                0.42948,                0.25279,                 1.3685,                 2.0739,                  1.943,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.2373,                 1.9769,                 1.5607,                 0.4042,                0.63772,                 0.4977,                0.33885,                 1.1467,                 1.8047,                 1.7131,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1796,                 1.9892,                 1.5503,                0.41531,                0.65494,                0.52316,                0.36288,                 1.1687,                 1.7287,                 1.7087,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.1867,                 1.8799,                 1.5157,                 0.4572,                0.65027,                0.57698,                0.41797,                 1.1112,                 1.5684,                  1.638,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.1524,                 1.7748,                 1.4891,                0.50209,                0.55261,                0.54393,                0.38056,                 1.1326,                 1.5984,                 1.6918,             0.00086902,             0.00086902,             0.00086902
